問題文	答え	メモ	ジャンル
その高さは300メートルである、大阪府にある日本で2番目に高い建物は何でしょう？	あべのハルカス	2023年に建設された高さ330mの麻布台ヒルズに抜かれるまで日本一高いビルでした。マスコットは「あべのべあ」です。	
全天88星座の中で、最も領域が広い星座は何でしょう？	うみへび座	星座については以下でまとめています。	
フランス語で「稲妻」という言葉が由来である、細長く焼いたシュー皮にクリームを挟み、チョコレートなどをかけた洋菓子を何というでしょう？	エクレア	外国語系の問題です。フランス語で「稲妻」というのは有名問題ですので覚えましょう！	
「特に水鳥の生息地として国際的に重要な湿地に関する条約」という正式名称である、1971年に制定された湿地の保存に関する国際条約は何条約でしょう？	ラムサール条約	正式名称が「特に」から始まるのが珍しいのでよく出ます。	
アップ・ダウン・チャーム・ストレンジ・ボトム・トップの6種類がある、1963年にマレー・ゲルマンが提唱した素粒子のグループを何というでしょう？	クォーク	クイズ王を目指すなら6種類全部言えるようになりましょう！	
1919年にマルセル・デュシャンが発表した、レオナルド・ダ・ヴィンチの『モナリザ』に口ひげやあごひげを書き加えただけの作品は何でしょう？	L.H.O.O.Q	デュシャンは多くの複製作品を残しており、『モナリザ』をモノクロコピーしただけの『ひげを剃ったL.H.O.O.Q』という作品もあります。	
1日中太陽が沈まない日を「白夜」というのに対し、1日中太陽が昇らない日を何というでしょう？	極夜	白夜は有名ですが、極夜はあまり聞かないですね。北極圏や南極圏の冬に観測されます。	
北と東の間を北東、北と北東の間を北北東といいますが、北と北北東の間のことを何というでしょう？	北微東	「微妙に東に向いた北」ということですね。北から東に11.25°だけ東に向いた方向です。	
ゴリラなどが行う手で自分の胸を叩く行為のことを何というでしょう？	ドラミング	「見たことあるけど名前が分からないパターン」ですね。ドラムを叩くイメージで覚えましょう。	
アメリカの人類学者ジョージ・マードックが提唱した、夫婦や親子だけで構成される家族のことを何というのでしょう？	核家族	学校の社会科で習いましたね。ジョージ・マードックまで覚えましょう。	
童謡『赤とんぼ』の作曲者は山田耕筰ですが、作詞者は誰でしょう？	三木露風	パラレル問題です。「作曲者」が強調されるので聞き逃さないようにしましょう。	
世界で2番目に高い山であるK2の「K」のとは、何という言葉の頭文字でしょう？	カラコルム	K2はカラコルム山脈に存在しています。「カラコルム山脈測量番号2号」の略称です。世界で2番目に高いから「2」がついているわけではありません。山に関するクイズは以下にまとめてあります。	
ずばり、スリランカの首都はどこでしょう？	スリジャヤワルダナプラコッテ	「ずばり」が入っている問題は必ず問題文が短いです。ガンガン答えていきましょう！長い名前が答えになるクイズは以下にまとめてあります！	
